---,X,Y,Z,T
0,0.000,0.000,349.702,0.1
1,-0.003,-0.006,350.299,0.1
2,-0.092,-0.138,345.144,0.1
3,-0.203,-0.330,338.083,0.1
4,-0.291,-0.534,330.344,0.1
5,-0.345,-0.726,321.592,0.1
6,-0.389,-0.916,313.813,0.1
7,-0.392,-0.925,310.500,0.1
8,-0.392,-0.925,307.370,0.1
9,-0.545,-0.933,301.095,0.1
10,-0.755,-0.930,294.781,0.1
11,-0.981,-0.868,288.424,0.1
12,-1.172,-0.805,288.293,0.1
13,-1.381,-0.737,287.878,0.1
14,-1.594,-0.670,287.073,0.1
15,-1.809,-0.607,284.900,0.1
16,-2.038,-0.558,277.680,0.1
17,-2.218,-0.479,270.999,0.1
18,-2.227,-0.389,263.742,0.1
19,-2.039,-0.339,255.231,0.1
20,-1.854,-0.308,247.292,0.1
21,-1.664,-0.314,239.175,0.1
22,-1.473,-0.313,231.337,0.1
23,-1.283,-0.301,223.951,0.1
24,-1.069,-0.277,218.482,0.1
25,-0.869,-0.270,218.182,0.1
26,-0.770,-0.292,217.670,0.1
27,-0.770,-0.292,216.947,0.1
28,-0.704,-0.341,216.449,0.1
29,-0.532,-0.467,216.094,0.1
30,-0.374,-0.590,215.415,0.1
31,-0.214,-0.713,213.714,0.1
32,-0.035,-0.842,211.905,0.1
33,0.131,-0.957,211.148,0.1
34,0.275,-1.123,211.234,0.1
35,0.316,-1.315,214.359,0.1
36,0.200,-1.480,228.688,0.1
37,0.037,-1.576,243.713,0.1
38,-0.149,-1.619,256.301,0.1
39,-0.342,-1.622,265.479,0.1
40,-0.558,-1.602,269.539,0.1
41,-0.779,-1.579,270.300,0.1
42,-1.000,-1.553,271.383,0.1
43,-1.220,-1.522,272.489,0.1
44,-1.440,-1.486,273.394,0.1
45,-1.639,-1.452,273.885,0.1
46,-1.854,-1.413,274.508,0.1
47,-2.051,-1.374,275.123,0.1
48,-2.248,-1.335,275.510,0.1
49,-2.445,-1.294,276.046,0.1
50,-2.660,-1.247,276.399,0.1
51,-2.857,-1.202,277.112,0.1
52,-3.073,-1.149,278.060,0.1
53,-3.286,-1.093,279.024,0.1
54,-3.501,-1.035,279.224,0.1
55,-3.718,-0.987,278.897,0.1
56,-3.937,-0.954,278.377,0.1
57,-4.136,-0.926,277.514,0.1
58,-4.357,-0.899,276.660,0.1
59,-4.578,-0.875,276.146,0.1
60,-4.797,-0.851,276.093,0.1
61,-4.997,-0.830,276.210,0.1
62,-5.197,-0.808,276.202,0.1
63,-5.418,-0.784,276.218,0.1
64,-5.617,-0.762,276.238,0.1
65,-5.837,-0.738,276.189,0.1
66,-6.036,-0.717,276.050,0.1
67,-6.255,-0.694,276.030,0.1
68,-6.447,-0.674,276.071,0.1
69,-6.634,-0.654,276.055,0.1
70,-6.650,-0.652,276.062,0.1
71,-6.771,-0.639,276.105,0.1
72,-6.970,-0.618,276.258,0.1
73,-7.169,-0.595,276.462,0.1
74,-7.390,-0.571,276.383,0.1
75,-7.612,-0.546,276.199,0.1
